Date,Parameter,Value
2020-01-11T09:00:00.0000000Z,wind_speed,2.6398408052347366
2020-01-11T12:00:00.0000000Z,wind_speed,1.7468365148788285
2020-01-11T15:00:00.0000000Z,wind_speed,2.357176763880459
2020-01-11T18:00:00.0000000Z,wind_speed,1.7456963733370015
2020-01-11T21:00:00.0000000Z,wind_speed,2.0214515259107224
2020-01-12T00:00:00.0000000Z,wind_speed,1.792148118815415
2020-01-12T03:00:00.0000000Z,wind_speed,2.5058466025213075
2020-01-12T06:00:00.0000000Z,wind_speed,1.912219691329403
2020-01-12T09:00:00.0000000Z,wind_speed,2.308459342055758
2020-01-12T12:00:00.0000000Z,wind_speed,2.9999103118933688
2020-01-12T15:00:00.0000000Z,wind_speed,4.493490459503102
2020-01-12T18:00:00.0000000Z,wind_speed,5.595198333089664
2020-01-12T21:00:00.0000000Z,wind_speed,6.980493787945221
2020-01-13T00:00:00.0000000Z,wind_speed,7.488431799734643
2020-01-13T03:00:00.0000000Z,wind_speed,7.219664576920434
2020-01-13T06:00:00.0000000Z,wind_speed,6.407721607134353
2020-01-13T09:00:00.0000000Z,wind_speed,5.790031919418842
2020-01-13T12:00:00.0000000Z,wind_speed,5.041339213091855
2020-01-13T15:00:00.0000000Z,wind_speed,4.318530262757318
2020-01-13T18:00:00.0000000Z,wind_speed,4.0879893828153895
2020-01-13T21:00:00.0000000Z,wind_speed,4.475125317150684
2020-01-14T00:00:00.0000000Z,wind_speed,4.966379001746476
2020-01-14T03:00:00.0000000Z,wind_speed,5.195296885505282
2020-01-14T06:00:00.0000000Z,wind_speed,4.795112257613643
2020-01-14T09:00:00.0000000Z,wind_speed,4.952192596111644
2020-01-14T12:00:00.0000000Z,wind_speed,4.258951947360524
2020-01-14T15:00:00.0000000Z,wind_speed,4.100982853876191
2020-01-14T18:00:00.0000000Z,wind_speed,4.0021597591847256
2020-01-14T21:00:00.0000000Z,wind_speed,4.330937380691355
2020-01-15T00:00:00.0000000Z,wind_speed,4.255861669851935
2020-01-15T03:00:00.0000000Z,wind_speed,4.151199962971585
2020-01-15T06:00:00.0000000Z,wind_speed,3.8767811363599716
2020-01-15T09:00:00.0000000Z,wind_speed,3.7900648201853286
2020-01-15T12:00:00.0000000Z,wind_speed,4.264760096372683
2020-01-15T15:00:00.0000000Z,wind_speed,5.0100228677675265
2020-01-15T18:00:00.0000000Z,wind_speed,6.2607351429293185
2020-01-15T21:00:00.0000000Z,wind_speed,7.392016478327983
2020-01-16T00:00:00.0000000Z,wind_speed,8.19003564128692
2020-01-16T03:00:00.0000000Z,wind_speed,8.36800858661117
2020-01-16T06:00:00.0000000Z,wind_speed,7.945106094949862
2020-01-16T09:00:00.0000000Z,wind_speed,7.956030629481588
2020-01-16T12:00:00.0000000Z,wind_speed,7.312743557056157
2020-01-16T15:00:00.0000000Z,wind_speed,7.357592960131393
2020-01-16T18:00:00.0000000Z,wind_speed,7.916521556263158
2020-01-16T21:00:00.0000000Z,wind_speed,6.831467806147089
2020-01-17T00:00:00.0000000Z,wind_speed,6.072272887335834
2020-01-17T03:00:00.0000000Z,wind_speed,5.0708651467376455
2020-01-17T06:00:00.0000000Z,wind_speed,4.1720947551696
2020-01-17T09:00:00.0000000Z,wind_speed,3.8432997020726365
2020-01-17T12:00:00.0000000Z,wind_speed,2.751607860569749
2020-01-17T15:00:00.0000000Z,wind_speed,1.973239017754457
